timestamp_ms,emg_quad,ecg_isquio,angulo_relativo
9186,0,2039,23.01
9218,0,2000,23.39
9218,0,1183,23.8
9218,0,2032,24.25
9263,0,2119,24.76
9263,0,1133,25.34
9264,0,1937,26.0
9264,0,2176,26.7
9310,0,1098,27.49
9310,0,1819,28.32
9311,0,2215,29.16
9311,0,1259,30.08
9356,0,1811,31.09
9356,0,2339,32.21
9357,0,1298,33.44
9357,0,1818,34.78
9403,0,2353,36.34
9404,0,1220,37.9
9404,0,1503,39.58
9404,0,2359,41.42
9448,0,1329,43.43
9449,0,1638,45.71
9449,0,2399,48.25
9449,0,1590,50.98
9451,0,1655,53.87
9494,0,2550,57.01
9496,0,1421,60.28
9496,0,1557,63.62
9496,0,2047,66.94
9542,0,1218,70.19
9543,0,1322,73.35
9543,0,2559,76.48
9543,0,1743,79.6
9588,0,1410,82.63
9588,0,2403,85.72
9588,0,1683,88.75
9589,0,1159,91.64
9634,0,2288,94.4
9634,0,2122,97.12
9634,0,1840,99.95
9635,0,2767,102.68
9680,0,2037,105.16
9680,0,1210,107.8
9681,0,2183,110.37
9681,0,1885,112.84
9727,0,1150,115.2
9728,0,2215,117.5
9728,0,2333,119.68
9728,0,1461,121.77
9773,0,2012,123.79
9773,0,1840,125.76
9774,0,1181,127.65
9774,0,2268,129.44
9805,0,2295,131.14
9805,0,1472,132.78
9805,0,2288,134.36
9850,0,2272,135.87
9850,0,1229,137.31
9851,0,2065,138.69
9851,0,2389,139.99
9896,0,1355,141.24
9896,0,2254,142.34
9897,0,2361,143.49
9897,0,1328,144.56
9943,0,1861,145.53
9943,0,2261,146.42
9944,0,1250,147.21
9944,0,1863,147.89
9945,0,2319,148.52
9989,0,1379,149.23
9990,0,1711,149.76
9990,0,2379,150.05
9990,0,1559,150.18
10036,0,1762,150.19
10036,0,2423,150.2
10036,0,1578,150.17
10037,0,1670,149.96
10083,0,2445,149.51
10083,0,1651,148.71
10083,0,1629,147.56
10084,0,2322,146.19
10130,0,1599,144.57
10130,0,1463,142.6
10131,0,2398,140.28
10131,0,1712,137.76
10177,0,1370,135.06
10178,0,2244,132.19
10178,0,1739,129.25
10178,0,1351,126.1
10180,0,2220,122.86
10223,0,1834,119.71
10223,0,1375,116.53
10224,0,2177,113.37
10226,0,1922,110.3
10270,0,1296,107.28
10270,0,2065,104.57
10270,0,2005,101.74
10271,0,1350,98.91
10318,0,2030,96.06
10318,0,1959,93.32
10318,0,1299,90.67
10319,0,1987,88.03
10366,0,1978,85.47
10366,0,1351,83.06
10366,0,2011,80.66
10366,0,2166,78.36
10413,0,1307,76.09
10413,0,1913,73.88
10414,0,2240,71.75
10414,0,1247,69.71
10460,0,1712,67.72
10460,0,1988,65.76
10460,0,1198,63.96
10461,0,1745,62.2
10461,0,2024,60.49
10506,0,1216,58.78
10506,0,1691,57.12
10507,0,2333,55.5
10507,0,1220,54.0
10539,0,1505,52.51
10539,0,2339,51.1
10539,0,1707,49.73
10585,0,1840,48.38
10585,0,2139,47.02
10586,0,766,45.72
10586,0,1114,44.51
10632,0,2081,43.37
10632,0,1262,42.29
10633,0,1507,41.24
10633,0,2293,40.23
10678,0,1302,39.26
10679,0,1457,38.35
10679,0,2539,37.47
10679,0,1767,36.61
10725,0,1520,35.76
10725,0,2464,34.96
10725,0,1651,34.2
10726,0,1427,33.45
10772,0,2404,32.75
10772,0,1742,32.11
10772,0,1343,31.51
10773,0,2334,30.94
10818,0,1673,30.42
10818,0,1184,29.91
10818,0,2171,29.4
10819,0,1699,28.94
10820,0,1110,28.53
10865,0,2318,28.17
10866,0,2112,27.86
10866,0,1514,27.57
10867,0,2275,27.35
10912,0,2078,27.18
10912,0,1406,27.0
10912,0,2282,26.92
10912,0,2101,26.85
10959,0,1191,26.86
10959,0,1937,26.93
10960,0,2007,27.03
10960,0,1183,27.18
11006,0,1971,27.33
11006,0,2093,27.56
11007,0,1255,27.87
11007,0,1923,28.26
11052,0,2039,28.75
11053,0,1152,29.32
11053,0,1843,29.98
11053,0,2272,30.75
11056,0,1301,31.61
11098,0,1869,32.6
11098,0,2357,33.75
11099,0,1475,35.06
11101,0,1858,36.64
11145,0,2363,38.55
11145,0,1415,40.59
11145,0,1737,42.95
11146,0,2374,45.38
11191,0,1455,48.04
11191,0,1633,50.81
11191,0,2390,53.83
11192,0,1495,57.18
11237,0,1527,60.86
11237,0,2349,64.61
11238,0,1651,68.16
11238,0,1457,71.62
11284,0,2273,74.97
11284,0,1524,78.41
11284,0,1189,81.86
11285,0,2177,85.33
11332,0,1735,88.71
11332,0,1598,91.78
11332,0,2365,95.05
11333,0,1616,98.2
11365,0,1094,101.22
11365,0,2159,104.21
11366,0,1632,107.11
11411,0,1389,109.83
11411,0,2559,112.44
11412,0,1977,114.96
11412,0,1441,117.38
11457,0,2540,119.73
11457,0,2147,122.04
11458,0,1259,124.25
11458,0,2141,126.34
11460,0,2025,128.35
11505,0,1456,130.3
11505,0,2509,132.16
11506,0,2365,133.95
11506,0,1431,135.64
11551,0,2157,137.18
11551,0,1985,138.6
11551,0,1216,139.99
11552,0,2063,141.38
11597,0,2165,142.78
11597,0,1337,144.08
11597,0,2115,145.28
11598,0,2399,146.4
11644,0,1419,147.44
11644,0,1998,148.36
11645,0,2288,149.16
